[a, b] = [0, 2]
h = 0.01 
 
  n            x1            v1            x2            v2
  1      1.200000      0.000000      0.000000     -0.800000
  2      1.199933     -0.013447     -0.007999     -0.799832
  3      1.199731     -0.026882     -0.015996     -0.799328
  4      1.199395     -0.040291     -0.023985     -0.798491
  5      1.198925     -0.053661     -0.031964     -0.797321
  6      1.198322     -0.066982     -0.039930     -0.795823
  7      1.197586     -0.080240     -0.047880     -0.794001
  8      1.196718     -0.093425     -0.055809     -0.791860
  9      1.195718     -0.106526     -0.063716     -0.789404
 10      1.194587     -0.119533     -0.071596     -0.786642
 11      1.193327     -0.132438     -0.079448     -0.783578
 12      1.191939     -0.145232     -0.087267     -0.780221
 13      1.190423     -0.157907     -0.095051     -0.776578
 14      1.188781     -0.170456     -0.102797     -0.772656
 15      1.187015     -0.182874     -0.110503     -0.768464
 16      1.185124     -0.195156     -0.118166     -0.764008
 17      1.183112     -0.207296     -0.125783     -0.759297
 18      1.180979     -0.219292     -0.133351     -0.754338
 19      1.178727     -0.231139     -0.140869     -0.749139
 20      1.176357     -0.242835     -0.148333     -0.743708
 21      1.173870     -0.254378     -0.155742     -0.738050
 22      1.171270     -0.265766     -0.163093     -0.732174
 23      1.168556     -0.276998     -0.170385     -0.726085
 24      1.165730     -0.288073     -0.177614     -0.719789
 25      1.162795     -0.298991     -0.184780     -0.713293
 26      1.159751     -0.309751     -0.191879     -0.706603
 27      1.156600     -0.320354     -0.198911     -0.699723
 28      1.153344     -0.330799     -0.205873     -0.692657
 29      1.149985     -0.341086     -0.212764     -0.685412
 30      1.146523     -0.351216     -0.219581     -0.677991
 31      1.142961     -0.361191     -0.226323     -0.670399
 32      1.139300     -0.371009     -0.232988     -0.662638
 33      1.135541     -0.380672     -0.239575     -0.654713
 34      1.131687     -0.390181     -0.246082     -0.646627
 35      1.127738     -0.399536     -0.252507     -0.638382
 36      1.123697     -0.408738     -0.258849     -0.629983
 37      1.119564     -0.417788     -0.265106     -0.621431
 38      1.115341     -0.426687     -0.271277     -0.612728
 39      1.111031     -0.435434     -0.277361     -0.603878
 40      1.106633     -0.444031     -0.283354     -0.594882
 41      1.102150     -0.452478     -0.289258     -0.585743
 42      1.097584     -0.460776     -0.295069     -0.576462
 43      1.092935     -0.468926     -0.300786     -0.567040
 44      1.088206     -0.476927     -0.306409     -0.557481
 45      1.083397     -0.484781     -0.311936     -0.547784
 46      1.078511     -0.492487     -0.317364     -0.537952
 47      1.073548     -0.500047     -0.322694     -0.527986
 48      1.068510     -0.507460     -0.327924     -0.517887
 49      1.063399     -0.514726     -0.333051     -0.507656
 50      1.058216     -0.521847     -0.338076     -0.497295
 51      1.052963     -0.528821     -0.342997     -0.486805
 52      1.047641     -0.535650     -0.347812     -0.476186
 53      1.042250     -0.542334     -0.352520     -0.465440
 54      1.036794     -0.548872     -0.357120     -0.454568
 55      1.031274     -0.555265     -0.361611     -0.443569
 56      1.025690     -0.561513     -0.365991     -0.432446
 57      1.020044     -0.567616     -0.370260     -0.421199
 58      1.014338     -0.573574     -0.374415     -0.409828
 59      1.008573     -0.579387     -0.378456     -0.398335
 60      1.002750     -0.585055     -0.382381     -0.386720
 61      0.996872     -0.590579     -0.386190     -0.374983
