[a, b] = [0, 2]
h = 0.1 
 
  n            x1            v1            x2            v2
  1      1.200000      0.000000      0.000000     -0.800000
  2      1.193275     -0.131813     -0.080000     -0.784134
  3      1.173666     -0.253783     -0.156813     -0.739223
  4      1.142548     -0.360972     -0.227859     -0.671877
  5      1.101492     -0.452700     -0.291216     -0.587262
  6      1.052023     -0.529461     -0.345343     -0.488191
  7      0.995612     -0.591592     -0.388887     -0.376098
  8      0.933714     -0.639196     -0.420596     -0.251753
  9      0.867779     -0.672421     -0.439271     -0.115490
 10      0.799232     -0.691805     -0.443726      0.032865
 11      0.729415     -0.698771     -0.432727      0.194281
 12      0.659467     -0.696492     -0.404892      0.371023
 13      0.590093     -0.691749     -0.358530      0.567468
 14      0.521067     -0.699470     -0.291375      0.791217
 15      0.450076     -0.755214     -0.200198      1.053022
 16      0.369659     -0.952167     -0.080550      1.351443
 17      0.258251     -1.501760      0.070421      1.531541
 18      0.063646     -2.150989      0.223017      1.101585
 19     -0.168734     -2.198044      0.271560      0.402079
 20     -0.360221     -1.774993      0.291526      0.246376
 21     -0.518654     -1.466185      0.319971      0.371850

 
