[a, b] = [0, 2]
h = 0.1 
 
  n            x1            v1            x2            v2
  1      1.200000      0.000000      0.000000     -0.800000
  2      1.193275     -0.131813     -0.080000     -0.784134
  3      1.173282     -0.276114     -0.167579     -0.758344
  4      1.138052     -0.366125     -0.231669     -0.661551
  5      1.100057     -0.471317     -0.299889     -0.602852
  6      1.043789     -0.539371     -0.352239     -0.471799
  7      0.992183     -0.605516     -0.394249     -0.388026
  8      0.922686     -0.654244     -0.429844     -0.230637
  9      0.861334     -0.680774     -0.440376     -0.121508
 10      0.786531     -0.711638     -0.454146      0.057759
 11      0.719006     -0.699704     -0.428825      0.197057
 12      0.646590     -0.721015     -0.414735      0.399047
 13      0.574803     -0.681156     -0.349015      0.582711
 14      0.510359     -0.730532     -0.298193      0.823521
 15      0.428697     -0.716945     -0.184311      1.089748
 16      0.366970     -0.999974     -0.080243      1.409104
 17      0.228702     -1.359652      0.097510      1.746570
 18      0.095040     -2.960699      0.269071      0.875759
 19     -0.363438     -1.859818      0.272662      0.797519
 20     -0.276924     -1.923681      0.428575      1.060963
 21     -0.748174     -1.080440      0.484854      0.989748

 
